Book,Chapter,Verse,Siglum,Note heading,Recovered attribution,OCR volume,OCR source,Locator,Verification basis,Confidence
Matthew,3,7,a,Of the Pharisees and Sadducees.,Calmet,Tome I,novotestamentotr01pere.pdf,"Matthew 3:7, note a",The OCR note explicitly attributes the interpretation to Calmet.,High
Matthew,3,16,c,And coming upon him.,Pereira,Tome I,novotestamentotr01pere.pdf,"Matthew 3:16, note c",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Matthew,5,22,e,Whosoever is angry with his brother.,Pereira,Tome I,novotestamentotr01pere.pdf,"Matthew 5:22, note e",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Matthew,5,39,j,Turn to him also the other.,Pereira,Tome I,novotestamentotr01pere.pdf,"Matthew 5:39, note j",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Matthew,5,46,k,The publicans.,Pereira,Tome I,novotestamentotr01pere.pdf,"Matthew 5:46, note k",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Matthew,6,13,c,Amen.,Pereira,Tome I,novotestamentotr01pere.pdf,"Matthew 6:13, note c",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Matthew,7,14,a,How narrow is the gate.,St. Jerome,Tome I,novotestamentotr01pere.pdf,"Matthew 7:14, note a",The OCR note explicitly attributes the interpretation to St. Jerome.,High
Matthew,7,15,b,Ravening wolves.,Pereira,Tome I,novotestamentotr01pere.pdf,"Matthew 7:15, note b",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Matthew,10,11,f,Who in it is worthy.,Amelote,Tome I,novotestamentotr01pere.pdf,"Matthew 10:11, note f",The OCR note explicitly attributes the interpretation to Amelote.,High
Matthew,10,34,g,But the sword.,Saci,Tome I,novotestamentotr01pere.pdf,"Matthew 10:34, note g",The OCR note explicitly attributes the interpretation to Saci.,High
Matthew,12,49,f,Behold my mother.,St. Ambrose; St. Gregory the Great; St. Bernard,Tome I,novotestamentotr01pere.pdf,"Matthew 12:49, note f",The OCR note explicitly names these authorities as the sources of the interpretation.,High
Matthew,13,56,d,And his sisters.,Pereira,Tome I,novotestamentotr01pere.pdf,"Matthew 13:56, note d",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Matthew,15,5,a,Whosoever shall say to father or mother.,St. Jerome,Tome I,novotestamentotr01pere.pdf,"Matthew 15:5, note a",The OCR note explicitly attributes the interpretation to St. Jerome.,High
Matthew,15,11,c,Not that which goeth into the mouth defileth a man.,Pereira,Tome I,novotestamentotr01pere.pdf,"Matthew 15:11, note c",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Matthew,17,9,c,Tell the vision to no man.,Pereira,Tome I,novotestamentotr01pere.pdf,"Matthew 17:9, note c",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Matthew,18,22,d,Seventy times seven times.,St. Augustine,Tome I,novotestamentotr01pere.pdf,"Matthew 18:22, note d",The OCR note explicitly attributes the interpretation to St. Augustine.,High
Matthew,20,16,c,So shall the last be first.,St. Hilary; St. John Chrysostom; St. Gregory the Great; Hessel; Jansenius of Ghent; Amelote,Tome I,novotestamentotr01pere.pdf,"Matthew 20:16, note c",The OCR note explicitly names these authorities as the sources of the interpretation.,High
Matthew,20,22,e,You know not what you ask.,St. John Chrysostom,Tome I,novotestamentotr01pere.pdf,"Matthew 20:22, note e",The OCR note explicitly attributes the interpretation to St. John Chrysostom.,High
Matthew,21,9,a,Hosanna to the son of David.,Pereira,Tome I,novotestamentotr01pere.pdf,"Matthew 21:9, note a",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Matthew,21,42,c,The same is become the head of the corner.,St. Augustine,Tome I,novotestamentotr01pere.pdf,"Matthew 21:42, note c",The OCR note explicitly attributes the interpretation to St. Augustine.,High
Matthew,22,9,b,Into the highways.,Pereira,Tome I,novotestamentotr01pere.pdf,"Matthew 22:9, note b",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Matthew,22,43,f,How then doth David call him Lord.,Pereira,Tome I,novotestamentotr01pere.pdf,"Matthew 22:43, note f",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Matthew,23,2,a,On the chair of Moses.,Pereira,Tome I,novotestamentotr01pere.pdf,"Matthew 23:2, note a",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Matthew,23,5,b,They make their phylacteries broad.,Calmet,Tome I,novotestamentotr01pere.pdf,"Matthew 23:5, note b",The OCR note explicitly attributes the interpretation to Calmet.,High
Matthew,24,15,c,The abomination of desolation.,Pereira,Tome I,novotestamentotr01pere.pdf,"Matthew 24:15, note c",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Matthew,24,34,e,This generation shall not pass.,St. John Chrysostom,Tome I,novotestamentotr01pere.pdf,"Matthew 24:34, note e",The OCR note explicitly attributes the interpretation to St. John Chrysostom.,High
Matthew,24,43,f,At what hour the thief would come.,St. Hilary,Tome I,novotestamentotr01pere.pdf,"Matthew 24:43, note f",The OCR note explicitly attributes the interpretation to St. Hilary.,High
Matthew,26,37,e,He began to grow sorrowful.,St. Hilary; St. John Chrysostom; St. Jerome,Tome I,novotestamentotr01pere.pdf,"Matthew 26:37, note e",The OCR note explicitly names these authorities as the sources of the interpretation.,High
Matthew,27,2,a,Pontius Pilate the governor.,Pereira,Tome I,novotestamentotr01pere.pdf,"Matthew 27:2, note a",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Matthew,27,6,b,Into the treasury.,St. Jerome,Tome I,novotestamentotr01pere.pdf,"Matthew 27:6, note b",The OCR note explicitly attributes the interpretation to St. Jerome.,High
